titles,titlesVN,release,certificate,runtime,genre,rates,directors
Tenet,Tenet,(2020),PG-13,150 min,"
Action, Sci-Fi            ",7.8,Christopher Nolan
The Gentlemen,Quý Ông Thế Giới Ngầm,(2019),R,113 min,"
Action, Comedy, Crime            ",7.9,Guy Ritchie
Once Upon a Time... In Hollywood,Chuyện Ngày Xưa Ở... Hollywood,(2019),R,161 min,"
Comedy, Drama            ",7.6,Quentin Tarantino
One Flew Over the Cuckoo's Nest,Bay Trên Tổ Chim Cúc Cu,(1975),R,133 min,"
Drama            ",8.7,Milos Forman
Knives Out,Kẻ Đâm Lén,(2019),PG-13,130 min,"
Comedy, Crime, Drama            ",7.9,Rian Johnson
Harry Potter and the Sorcerer's Stone,Harry Potter và Hòn Đá Phù Thủy,(2001),PG,152 min,"
Adventure, Family, Fantasy            ",7.6,Chris Columbus
Moneyball,Moneyball,(2011),PG-13,133 min,"
Biography, Drama, Sport            ",7.6,Bennett Miller
The Nightmare Before Christmas,The Nightmare Before Christmas,(1993),PG,76 min,"
Animation, Family, Fantasy            ",8,Henry Selick
The Shawshank Redemption,Nhà tù Shawshank,(1994),R,142 min,"
Drama            ",9.3,Frank Darabont
Joker,Joker,(2019),R,122 min,"
Crime, Drama, Thriller            ",8.5,Todd Phillips
Halloween,Halloween,(1978),R,91 min,"
Horror, Thriller            ",7.8,John Carpenter
Avengers: Endgame,Avengers: Hồi Kết,(2019),PG-13,181 min,"
Action, Adventure, Drama            ",8.4,Anthony Russo
Parasite,Ký Sinh Trùng,(2019),R,132 min,"
Comedy, Drama, Thriller            ",8.6,Bong Joon Ho
Hamilton,Hamilton,(2020),PG-13,160 min,"
Biography, Drama, History            ",8.7,Thomas Kail
Pulp Fiction,Pulp Fiction,(1994),R,154 min,"
Crime, Drama            ",8.9,Quentin Tarantino
The Wolf of Wall Street,Sói Già Phố Wall,(2013),R,180 min,"
Biography, Crime, Drama            ",8.2,Martin Scorsese
1917,1917,(2019),R,119 min,"
Drama, War            ",8.3,Sam Mendes
The Godfather,Bố Già,(1972),R,175 min,"
Crime, Drama            ",9.2,Francis Ford Coppola
Interstellar,Hố Đen Tử Thần,(2014),PG-13,169 min,"
Adventure, Drama, Sci-Fi            ",8.6,Christopher Nolan
The Silence of the Lambs,Sự Im Lặng Của Bầy Cừu,(1991),R,118 min,"
Crime, Drama, Thriller            ",8.6,Jonathan Demme
The Shining,The Shining,(1980),R,146 min,"
Drama, Horror            ",8.4,Stanley Kubrick
Jojo Rabbit,Jojo Rabbit,(2019),PG-13,108 min,"
Comedy, Drama, War            ",7.9,Taika Waititi
The Dark Knight,Kỵ Sĩ Bóng Đêm,(2008),PG-13,152 min,"
Action, Crime, Drama            ",9,Christopher Nolan
Inception,Kẻ Đánh Cắp Giấc Mơ,(2010),PG-13,148 min,"
Action, Adventure, Sci-Fi            ",8.8,Christopher Nolan
Little Women,Những Người Phụ Nữ Bé Nhỏ,(2019),PG,135 min,"
Drama, Romance            ",7.8,Greta Gerwig
Fargo,Fargo,(1996),R,98 min,"
Crime, Drama, Thriller            ",8.1,Joel Coen
Mad Max: Fury Road,Max Điên: Con Đường Tử Thần,(2015),R,120 min,"
Action, Adventure, Sci-Fi            ",8.1,George Miller
Titanic,Titanic,(1997),PG-13,194 min,"
Drama, Romance            ",7.8,James Cameron
Get Out,Trốn Thoát,(I) (2017),R,104 min,"
Horror, Mystery, Thriller            ",7.7,Jordan Peele
Back to the Future,Trở Lại Tương Lai,(1985),PG,116 min,"
Adventure, Comedy, Sci-Fi            ",8.5,Robert Zemeckis
Spider-Man: Into the Spider-Verse,Người Nhện: Vũ Trụ Mới,(2018),PG,117 min,"
Animation, Action, Adventure            ",8.4,Bob Persichetti
Thor: Ragnarok,Thor: Tận Thế Ragnarok,(2017),PG-13,130 min,"
Action, Adventure, Comedy            ",7.9,Taika Waititi
Coco,Coco,(I) (2017),PG,105 min,"
Animation, Adventure, Family            ",8.4,Lee Unkrich
Ford v Ferrari,Cuộc Đua Lịch Sử,(2019),PG-13,152 min,"
Action, Biography, Drama            ",8.1,James Mangold
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"
Action, Adventure, Drama            ",8.8,Peter Jackson
Blade Runner 2049,Tội Phạm Nhân Bản 2049,(2017),R,164 min,"
Action, Drama, Mystery            ",8,Denis Villeneuve
Harry Potter and the Goblet of Fire,Harry Potter và Chiếc Cốc Lửa,(2005),PG-13,157 min,"
Adventure, Family, Fantasy            ",7.7,Mike Newell
Se7en,Se7en,(1995),R,127 min,"
Crime, Drama, Mystery            ",8.6,David Fincher
The Matrix,Ma Trận,(1999),R,136 min,"
Action, Sci-Fi            ",8.7,Lana Wachowski
E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,(1982),PG,115 min,"
Family, Sci-Fi            ",7.8,Steven Spielberg
Dazed and Confused,Dazed and Confused,(1993),R,102 min,"
Comedy            ",7.6,Richard Linklater
Fight Club,Fight Club,(1999),R,139 min,"
Drama            ",8.8,David Fincher
Gone Girl,Cô Gái Mất Tích,(2014),R,149 min,"
Drama, Mystery, Thriller            ",8.1,David Fincher
The Fifth Element,The Fifth Element,(1997),PG-13,126 min,"
Action, Adventure, Sci-Fi            ",7.7,Luc Besson
The Exorcist,The Exorcist,(1973),R,122 min,"
Horror            ",8,William Friedkin
The Peanut Butter Falcon,The Peanut Butter Falcon,(2019),PG-13,97 min,"
Comedy, Drama            ",7.6,Tyler Nilson
Zodiac,Zodiac,(2007),R,157 min,"
Crime, Drama, Mystery            ",7.7,David Fincher
Edward Scissorhands,Người Kéo Học Yêu,(1990),PG-13,105 min,"
Drama, Fantasy, Romance            ",7.9,Tim Burton
Alien,Alien,(1979),R,117 min,"
Horror, Sci-Fi            ",8.4,Ridley Scott
Watchmen,Người Hùng Báo Thù,(2009),R,162 min,"
Action, Drama, Mystery            ",7.6,Zack Snyder
The Goonies,The Goonies,(1985),PG,114 min,"
Adventure, Comedy, Family            ",7.8,Richard Donner
Django Unchained,Hành Trình Django,(2012),R,165 min,"
Drama, Western            ",8.4,Quentin Tarantino
Gladiator,Gladiator,(2000),R,155 min,"
Action, Adventure, Drama            ",8.5,Ridley Scott
Jurassic Park,Công Viên Kỷ Jura,(1993),PG-13,127 min,"
Action, Adventure, Sci-Fi            ",8.1,Steven Spielberg
Schindler's List,Bản Danh Sách Của Schindler,(1993),R,195 min,"
Biography, Drama, History            ",8.9,Steven Spielberg
The Thing,The Thing,(1982),R,109 min,"
Horror, Mystery, Sci-Fi            ",8.1,John Carpenter
"Three Billboards Outside Ebbing, Missouri",Three Billboards: Truy Tìm Công Lý,(2017),R,115 min,"
Comedy, Crime, Drama            ",8.2,Martin McDonagh
The Departed,Điệp Vụ Boston,(2006),R,151 min,"
Crime, Drama, Thriller            ",8.5,Martin Scorsese
Pride & Prejudice,Kiêu Hãnh và Định Kiến,(2005),PG,129 min,"
Drama, Romance            ",7.8,Joe Wright
Requiem for a Dream,Nguyen Cau Cho Mot Giac Mo,(2000),R,102 min,"
Drama            ",8.3,Darren Aronofsky
Inglourious Basterds,Định Mệnh,(2009),R,153 min,"
Adventure, Drama, War            ",8.3,Quentin Tarantino
Harry Potter and the Deathly Hallows: Part 2,Harry Potter và Bảo Bối Tử Thần: Phần 2,(2011),PG-13,130 min,"
Adventure, Drama, Fantasy            ",8.1,David Yates
Goodfellas,Goodfellas,(1990),R,146 min,"
Biography, Crime, Drama            ",8.7,Martin Scorsese
Avengers: Infinity War,Avengers: Cuộc Chiến Vô Cực,(2018),PG-13,149 min,"
Action, Adventure, Sci-Fi            ",8.4,Anthony Russo
Call Me by Your Name,Call Me by Your Name,(2017),R,132 min,"
Drama, Romance            ",7.9,Luca Guadagnino
The Irishman,Người Đàn Ông Ireland,(2019),R,209 min,"
Biography, Crime, Drama            ",7.9,Martin Scorsese
Ghostbusters,Ghostbusters,(1984),PG,105 min,"
Action, Comedy, Fantasy            ",7.8,Ivan Reitman
Léon: The Professional,Léon,(1994),R,110 min,"
Action, Crime, Drama            ",8.5,Luc Besson
Forrest Gump,Forrest Gump,(1994),PG-13,142 min,"
Drama, Romance            ",8.8,Robert Zemeckis
The Dark Knight Rises,Kỵ Sĩ Bóng Đêm Trỗi Dậy,(2012),PG-13,164 min,"
Action, Adventure            ",8.4,Christopher Nolan
Harry Potter and the Prisoner of Azkaban,Harry Potter và Tên Tù Nhân Ngục Azkaban,(2004),PG,142 min,"
Adventure, Family, Fantasy            ",7.9,Alfonso Cuarón
Dunkirk,Cuộc Di Tản Dunkirk,(2017),PG-13,106 min,"
Action, Drama, History            ",7.9,Christopher Nolan
The Prestige,Ảo Thuật Gia Đấu Trí,(2006),PG-13,130 min,"
Drama, Mystery, Sci-Fi            ",8.5,Christopher Nolan
Prisoners,Lần Theo Dấu Vết,(2013),R,153 min,"
Crime, Drama, Mystery            ",8.1,Denis Villeneuve
The Green Mile,The Green Mile,(1999),R,189 min,"
Crime, Drama, Fantasy            ",8.6,Frank Darabont
The Hateful Eight,The Hateful Eight,(2015),R,168 min,"
Crime, Drama, Mystery            ",7.8,Quentin Tarantino
Baby Driver,Quái Xế Baby,(2017),R,113 min,"
Action, Crime, Music            ",7.6,Edgar Wright
Psycho,Psycho,(1960),R,109 min,"
Horror, Mystery, Thriller            ",8.5,Alfred Hitchcock
Saving Private Ryan,Giải Cứu Binh Nhì Ryan,(1998),R,169 min,"
Drama, War            ",8.6,Steven Spielberg
American Psycho,American Psycho,(2000),R,101 min,"
Comedy, Crime, Drama            ",7.6,Mary Harron
No Country for Old Men,Không Chốn Dung Thân,(2007),R,122 min,"
Crime, Drama, Thriller            ",8.1,Ethan Coen
Guardians of the Galaxy,Vệ Binh Giải Ngân Hà,(2014),PG-13,121 min,"
Action, Adventure, Comedy            ",8,James Gunn
Sicario,Ranh Gioi,(2015),R,121 min,"
Action, Crime, Drama            ",7.6,Denis Villeneuve
The Princess Bride,The Princess Bride,(1987),PG,98 min,"
Adventure, Family, Fantasy            ",8.1,Rob Reiner
American Beauty,Vẻ Đẹp Mỹ,(1999),R,122 min,"
Drama            ",8.3,Sam Mendes
Boogie Nights,Boogie Nights,(1997),R,155 min,"
Drama            ",7.9,Paul Thomas Anderson
Mission: Impossible - Fallout,Nhiệm Vụ Bất Khả Thi: Sụp Đổ,(2018),PG-13,147 min,"
Action, Adventure, Thriller            ",7.7,Christopher McQuarrie
Whiplash,Whiplash,(2014),R,106 min,"
Drama, Music            ",8.5,Damien Chazelle
Star Trek,Star Trek,(2009),PG-13,127 min,"
Action, Adventure, Sci-Fi            ",7.9,J.J. Abrams
Taxi Driver,Taxi Driver,(1976),R,114 min,"
Crime, Drama            ",8.3,Martin Scorsese
V for Vendetta,V for Vendetta,(2005),R,132 min,"
Action, Drama, Sci-Fi            ",8.2,James McTeigue
The Martian,Người Về Từ Sao Hỏa,(2015),PG-13,144 min,"
Adventure, Drama, Sci-Fi            ",8,Ridley Scott
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"
Action, Adventure, Drama            ",8.9,Peter Jackson
The Social Network,Mạng Xã Hội,(2010),PG-13,120 min,"
Biography, Drama            ",7.7,David Fincher
Casino Royale,Sòng Bạc Hoàng Gia,(2006),PG-13,144 min,"
Action, Adventure, Thriller            ",8,Martin Campbell
Hacksaw Ridge,Hacksaw Ridge,(2016),R,139 min,"
Biography, Drama, History            ",8.1,Mel Gibson
Home Alone,Ở Nhà Một Mình,(1990),PG,103 min,"
Comedy, Family            ",7.6,Chris Columbus
The Fly,The Fly,(1986),R,96 min,"
Drama, Horror, Sci-Fi            ",7.6,David Cronenberg
The Big Lebowski,The Big Lebowski,(1998),R,117 min,"
Comedy, Crime, Sport            ",8.1,Joel Coen
300,300,(2006),R,117 min,"
Action, Drama            ",7.6,Zack Snyder
